dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
NEON,Harvard Forest,HARV,-72.17265999999995,42.53690000000006,NA,NA,164.1145420820655,37.92121124267578,NA,114.92280578613288,NA
NEON,Smithsonian Conservation Biology Institute,SCBI,-78.13949999999994,38.89292000000006,NA,NA,334.2797546386719,115.21283721923828,NA,106.78276824951168,NA
NEON,Ordway-Swisher Biological Station,OSBS,-81.99342999999999,29.68927000000008,NA,NA,63.38591484709296,69.8902869866861,NA,42.73400115966798,NA
NEON,Guanica Forest,GUAN,-66.86869999999993,17.96955000000003,NA,NA,NA,NA,NA,NA,NA
NEON,UNDERC,UNDE,-89.53724999999997,46.23388000000006,NA,NA,155.0696428722447,139.33177185058594,NA,91.6992568969726,NA
NEON,Konza Prairie Biological Station,KONZ,-96.56308999999999,39.10077000000007,NA,NA,7.7523262902265975,10.838811874389648,NA,10.135107040405266,NA
NEON,Oak Ridge,ORNL,-84.28259999999995,35.96412000000004,NA,NA,162.62513657652863,91.84534454345703,NA,115.70589008379898,NA
NEON,Talladega National Forest,TALL,-87.39326999999997,32.95046000000008,NA,NA,228.96071068756783,85.784576416015625,NA,125.90326690673822,NA
NEON,Woodworth,WOOD,-99.24135599999994,47.12822800000004,NA,NA,4.161301533850676,9.719982071400445,NA,0,NA
NEON,Central Plains Experimental Range,CPER,-104.745602469,40.81553413400008,NA,0,1.2685423403241407,9.621728304071983,NA,0,0
NEON,LBJ National Grassland,CLBJ,-97.56999999999994,33.40123000000006,NA,NA,17.854388430513037,11.764260292053223,NA,3.689551591873168,NA
NEON,Yellowstone Northern Range (Frog Rock),YELL,-110.53914,44.95348000000007,7.984610350192928,NA,36.68145991215326,59.85466003417969,NA,36.563770294189446,79.86768341064453
NEON,Niwot Ridge Mountain Research Station,NIWO,-105.58237,40.05425000000003,NA,7.325276756831384,18.877440525910927,76.3296890258789,NA,76.99402618408205,108.78213500976562
NEON,Santa Rita Experimental Range,SRER,-110.83549,31.91068000000007,0,0,1.5752643838055627,11.92995548248291,0.17877958732931298,1.5605182647705067,12.60093879699707
NEON,Onaqui,ONAQ,-112.45244,40.17759000000007,0,0,1.5979583005032476,9.84560489654541,NA,7.784394264221188,8.735177040100098
NEON,Wind River Experimental Forest,WREF,-121.951912,45.82048800000007,244.42905363014074,NA,357.71412590443475,194.78326416015625,NA,320.5951232910155,819.68206787109375
NEON,San Joaquin,SJER,-119.73228,37.10878000000002,1.6218796749348638,12.91192250844663,28.450744468695596,27.249465942382812,28.984767237849127,6.710339065418907,66.29370653259437
NEON,Toolik Lake,TOOL,-149.37047,68.66109000000006,NA,NA,NA,NA,NA,NA,NA
NEON,Caribou-Poker Creeks Research Watershed,BONA,-147.50258,65.15401000000003,NA,NA,NA,NA,NA,NA,NA
NEON,Caribou-Poker Creeks Research Watershed,BONA,-147.50258,65.15401000000003,NA,NA,NA,NA,NA,NA,NA
NEON,Pu'u Maka'ala Natural Area Reserve,PUUM,-155.31731,19.55309000000005,NA,NA,NA,NA,NA,NA,NA
Ameriflux,ARM-SGP Medford hay pasture,US-A32,-97.8198,36.8193,NA,NA,1.5122472674248555,9.241511344909668,NA,0.049303114414215074,NA
Ameriflux,ARM-SGP-Morrison,US-A39,-96.069,36.3776,NA,NA,58.56655805499148,11.235669136047363,NA,16.38558090189848,NA
Ameriflux,ARM SGP milo field,US-A74,-97.5489,36.8085,NA,NA,1.8463776669521796,9.952825546264648,NA,0.7866505980491633,NA
Ameriflux,Arkansas Grassland,US-AaG,-91.6282,33.1105,NA,NA,36.5913122550321,70.458831787109375,NA,23.470457077026374,NA
Ameriflux,Acton Lake Flux Tower Site,US-Act,-84.755,39.582,NA,NA,131.621291412608,16.741094865114533,NA,28.858901975885257,NA
Ameriflux,Amargosa Desert Research Site (ADRS),US-ADR,-116.6933,36.7653,0,0,0.016444702962957948,8.858436584472656,0,0,2.35007744234559
Ameriflux,MPG - Apricot Lane Farms,US-AF1,-118.9244,34.3108,6.113370576991014,2.9805592163620402,25.40914522676667,16.068876266479492,38.29831866840119,0,57.357391357421875
Ameriflux,Savannah River Site,US-Akn,-81.5653,33.3825,NA,NA,130.94284057617188,49.52075958251953,NA,129.59916645342372,NA
Ameriflux,Allequash Creek Site,US-ALQ,-89.6067,46.0308,NA,NA,122.05219606776095,139.33177185058594,NA,59.99502563476562,NA
Ameriflux,Argonne Testbed for Multiscale Observational Science (ATMOS),US-AMS,-87.9963,41.7018,NA,NA,65.66545768842418,48.45542396854878,NA,15.054048543257801,NA
Ameriflux,Low Density Apple Orchard,US-AoL,-85.7648,43.2513,NA,NA,51.803784742136116,47.64736246010457,NA,77.046737999937,NA
Ameriflux,ARM USDA UNL OSU Woodward Switchgrass 1,US-AR1,-99.42,36.4267,NA,0.5744861942003652,4.385404526432996,11.363643646240234,NA,0,NA
Ameriflux,ARM USDA UNL OSU Woodward Switchgrass 2,US-AR2,-99.5975,36.6358,NA,0,4.252683054389559,10.82253360748291,NA,1.5844595160234667,NA
Ameriflux,ARM Southern Great Plains burn site- Lamont,US-ARb,-98.0402,35.5497,NA,NA,2.50428787639686,10.082136154174805,NA,3.2476708889007577,NA
Ameriflux,ARM Southern Great Plains control site- Lamont,US-ARc,-98.04,35.5465,NA,NA,2.384736529392649,10.082136154174805,NA,3.246173512117134,NA
Ameriflux,ARM Southern Great Plains site- Lamont,US-ARM,-97.4888,36.6058,NA,NA,1.7104807307800847,10.06735347431817,NA,0.7866505980491638,NA
Ameriflux,USSL San Joaquin Valley Almond High Salinity,US-ASH,-120.201,36.1697,12.410898001984332,0.34045999103938945,10.74960276271415,20.506656646728516,14.851715103509184,0,3.743101442697547
Ameriflux,USSL San Joaquin Valley Almond Low Salinity,US-ASL,-120.1024,36.9466,0.4365597322640461,0.2597694510405965,3.8372264569104857,18.284780502319336,1.0599060172227663,0,17.715513865700736
Ameriflux,USSL San Joaquin Valley Almond Medium Salinity,US-ASM,-120.2026,36.1777,10.094355396544186,0.13116530054081846,10.43954264163509,20.506656646728516,14.782493674110738,0,2.9871692761996322
Ameriflux,Audubon Research Ranch,US-Aud,-110.5104,31.5907,0.0026120686028883685,0.23252632806403625,3.6812139804954955,18.604071367431708,9.432699309367042,5.682248592376711,24.77374911481218
Ameriflux,Bartlett Experimental Forest,US-Bar,-71.2881,44.0646,NA,NA,183.78599197722903,97.69615173339842,NA,151.97697448730472,NA
Ameriflux,Blue Cypress Marsh,US-BCM,-80.7114,27.6953,NA,NA,11.481301417313711,37.724578857421875,NA,1.0196605920791628,NA
Ameriflux,Burdette Farm Rice Field - 4N,US-Bd4,-89.9862,35.8139,NA,NA,13.550743164634797,9.452239036560059,NA,11.086597442626955,NA
Ameriflux,Burdette Farm Rice Field - Seagraves South,US-Bd5,-90.0194,35.8105,NA,NA,12.88471914221243,47.35218811035156,NA,11.086597442626951,NA
Ameriflux,Burdette Farm Rice - Seagraves North,US-Bd6,-90.0194,35.814,NA,NA,12.315857947784487,47.35218811035156,NA,11.08659744262696,NA
Ameriflux,Burdette Farm Rice Field - AWD,US-BdA,-90.0327,35.8089,NA,NA,11.499957538066353,47.35218811035156,NA,11.086597442626957,NA
Ameriflux,Burdette Farm Rice Field - conventional,US-BdC,-90.0284,35.8089,NA,NA,11.715841215211587,47.35218811035156,NA,11.086597442626951,NA
Ameriflux,Big Chico Creek,US-BgC,-121.8135,39.8125,0.569063620501606,0.26462962766887216,23.481324120689628,11.795332908630373,5.9899110803256495,100.68688417280059,98.43888854980469
Ameriflux,Bouldin Island Alfalfa,US-Bi1,-121.4993,38.0992,0.8822480819471148,0.04835866770947989,3.334737216330957,12.444383309108819,4.36813062286354,0,25.74139635201018
Ameriflux,Bouldin Island corn,US-Bi2,-121.5351,38.1091,0.5021347947557316,0,2.6634301528560953,12.504311561584473,1.511898059819354,0,3.3694603200362274
Ameriflux,Brookings,US-Bkg,-96.8362,44.3453,NA,NA,5.43030524834201,10.414169311523438,NA,0,NA
Ameriflux,Black Hills,US-Blk,-103.65,44.158,NA,NA,37.049824352054976,90.39855194091797,NA,60.37462791637651,58.67629623413087
Ameriflux,Blodgett Forest,US-Blo,-120.6328,38.8953,232.22974699655092,132.04907004311477,132.83442820605222,56.27831268310546,212.7408717192232,191.84816044319936,345.3463219758746
Ameriflux,Bangtail Mountain Meadow,US-BMM,-110.7776,45.783,25.121226050166815,NA,43.351174437936464,95.32366180419922,NA,43.76169586181641,64.60357666015625
Ameriflux,Bondville,US-Bo1,-88.2904,40.0062,NA,NA,3.5783986314560416,10.644199495562328,NA,0,NA
Ameriflux,Bondville (companion site),US-Bo2,-88.29,40.009,NA,NA,3.619352126445204,10.634089871832025,NA,0,NA
Ameriflux,Brooks Field Site 10- Ames,US-Br1,-93.6906,41.9749,NA,NA,1.6489785104117483,11.291038513183594,NA,16.193910598754872,NA
Ameriflux,Brooks Field Site 1011- Ames,US-Br2,-93.6925,41.9757,NA,NA,1.7255997466025141,11.291038513183594,NA,16.19391059875489,NA
Ameriflux,Brooks Field Site 11- Ames,US-Br3,-93.6936,41.9747,NA,NA,1.8006259483666411,11.291038513183594,NA,16.193910598754876,NA
Ameriflux,Bayles Road Grassland Tower,US-BRG,-86.5406,39.2167,NA,NA,103.80528342307184,51.23646545410156,NA,118.23437499999997,NA
Ameriflux,Burns Sagebrush,US-Bsg,-119.6909,43.4712,0,0,1.359454903127379,9.49027156829834,NA,0,0.6907772205183635
Ameriflux,Barnstable Great Marsh,US-BSM,-70.3644,41.7297,NA,NA,63.87880116513532,92.08142852783203,NA,12.850929128771067,NA
Ameriflux,INFLUX - NIST Turfgrass Site,US-BWa,-77.2175,39.1389,NA,NA,41.35526850599372,92.21760559082031,NA,67.42100022288047,NA
Ameriflux,INFLUX - Montgomery County pasture site,US-BWb,-77.4509,39.1955,NA,NA,58.3814531851018,33.820919036865234,NA,71.6815872192383,NA
Ameriflux,Canaan Valley,US-CaV,-79.4208,39.0633,NA,NA,82.30353848926097,188.1053466796875,NA,114.98886871337889,NA
Ameriflux,Coloma Corn 1,US-CC1,-89.6787,44.0732,NA,NA,42.86880874633789,34.745628356933594,NA,57.659760178728334,NA
Ameriflux,Coloma Corn 2,US-CC2,-89.6196,44.1039,NA,NA,49.78366233982624,34.745628356933594,NA,19.644712448120124,NA
Ameriflux,Cedar Mesa,US-CdM,-109.7471,37.5241,0.004180974165570989,6.952002076654218,7.008294277523912,12.298438027023357,14.369845883016064,25.158084869384783,24.53216552734375
Ameriflux,Cedar Bridge,US-Ced,-74.3791,39.8379,NA,NA,71.63574102502088,89.38007354736328,NA,37.53961563110353,NA
Ameriflux,CAF-LTAR Cook East,US-CF1,-117.0821,46.7815,0.1421630119677977,NA,3.218985415172793,11.944751739501953,NA,0,18.759319305419922
Ameriflux,CAF-LTAR Cook West,US-CF2,-117.0908,46.784,0.049844594986654424,NA,3.3648149957245015,11.944751739501953,NA,0,19.610502754118308
Ameriflux,CAF-LTAR Boyd North,US-CF3,-117.1261,46.7551,0.04535081158678316,NA,3.9497231245093065,11.901940125558951,NA,0,27.571012496948246
Ameriflux,CAF-LTAR Boyd South,US-CF4,-117.1285,46.7518,0.14838289571600796,NA,4.702201579329955,11.845371670126019,NA,0,27.571012496948246
Ameriflux,Concord Grazed Grassland,US-CGG,-121.9761,37.938,3.125187479679557,0.6868039879731944,10.39098740097241,12.299274444580076,12.212689145555018,5.466663875951409,50.647666931152344
Ameriflux,Chestnut Ridge,US-ChR,-84.3324,35.9311,NA,NA,194.32529335380448,91.84534454345703,NA,120.57734680175774,NA
Ameriflux,Cole Farm,US-CLF,-77.9424,40.6366,NA,NA,403.58345889852995,68.92650604248047,NA,94.84812558984434,NA
Ameriflux,Charleston Mesquite Woodland,US-CMW,-110.1777,31.6637,0.4084477930860565,0.009367439374982783,15.519778984820151,15.77459716796875,28.282304554234997,1.0219408273696908,10.44324016571045
Ameriflux,Corral Pocket,US-Cop,-109.39,38.09,0.15399293439668915,0.58825276711807,3.4252564813246478,9.836682319641113,2.2829549096139483,8.661753654479979,5.214308537370964
Ameriflux,Chimney Park,US-CPk,-106.1187,41.068,NA,90.91961285133503,30.163442004563905,31.62019157409668,NA,67.41014099121097,78.44928741455078
Ameriflux,Davy Crockett National Forest,US-CRK,-95.3415,31.4629,NA,NA,166.62851808811817,97.343048095703125,NA,67.37595367431646,NA
Ameriflux,Curtice Walter-Berger cropland,US-CRT,-83.3471,41.6285,NA,NA,16.021710149993925,11.07299518585205,NA,0,NA
Ameriflux,Central Sands Irrigated Agricultural Field,US-CS1,-89.5379,44.1031,NA,NA,25.85599603344138,34.745628356933594,NA,19.64471244812011,NA
Ameriflux,Tri county school Pine Forest,US-CS2,-89.5002,44.1467,NA,NA,71.18640865791156,36.089921416845044,NA,19.644712448120114,NA
Ameriflux,Central Sands Irrigated Agricultural Field,US-CS3,-89.5727,44.1394,NA,NA,15.857834994002046,34.745628356933594,NA,19.644712448120128,NA
Ameriflux,Central Sands Irrigated Agricultural Field,US-CS4,-89.5475,44.1597,NA,NA,21.715218468759424,34.745628356933594,NA,19.644712448120114,NA
Ameriflux,Central Sands Irrigated Agricultural Field,US-CS5,-89.5377,44.1095,NA,NA,25.07037423127453,34.745628356933594,NA,19.644712448120117,NA
Ameriflux,Central Sands Irrigated Agricultural Field,US-CS6,-89.544,44.4297,NA,NA,23.452083179465117,34.309207916259766,NA,31.03528785705567,NA
Ameriflux,Central Sands Forest,US-CS7,-89.5443,44.4375,NA,NA,34.50081101659525,34.309207916259766,NA,31.035287857055675,NA
Ameriflux,Central Sands Irrigated Agricultural Field,US-CS8,-89.5364,44.4338,NA,NA,30.3650851002341,34.309207916259766,NA,31.035287857055668,NA
Ameriflux,Crossett Experimental Forest,US-Cst,-91.9204,33.0442,NA,NA,124.60870772328292,39.34800720214844,NA,77.36464691162112,NA
Ameriflux,Cottonwood,US-Ctn,-101.8466,43.95,NA,NA,3.4672996775043887,11.554893493652344,NA,0,0.2612605392932892
Ameriflux,Coweeta Grassland,US-CwG,-83.3951,34.9682,NA,NA,134.0966152533818,126.64522552490233,NA,159.74365234374997,NA
Ameriflux,Coweeta,US-Cwt,-83.4275,35.0592,NA,NA,210.13727504730886,167.30657958984375,NA,159.74365234374997,NA
Ameriflux,"Central Plains Experimental Range 1, Nunn, Colorado",US-CX1,-104.76,40.833,NA,0,1.470905638857538,9.848169332017706,NA,0,0
Ameriflux,"Central Plains Experimental Range 2, Nunn, Colorado",US-CX2,-104.7672,40.8402,NA,0,1.476055071417022,9.8610200881958,NA,0,0
Ameriflux,"Sierra Critical Zone, Sierra Transect, Oak/Pine Woodland, San Joaquin Experimental Range",US-CZ1,-119.7313,37.1088,1.5635213765046052,12.98542134684441,28.493213762519783,27.249465942382812,28.321691221130873,6.655342120094443,66.30617684725298
Ameriflux,"Sierra Critical Zone, Sierra Transect, Ponderosa Pine Forest, Soaproot Saddle",US-CZ2,-119.2566,37.0311,175.43043751581604,191.68976531531857,54.02571680273173,39.54508806656295,178.87959563439264,178.01660156249994,301.6092834472656
Ameriflux,"Sierra Critical Zone, Sierra Transect, Sierran Mixed Conifer, P301",US-CZ3,-119.1951,37.0674,175.40635522144225,214.00107349121194,134.52186794868837,40.47774887084961,245.2579289453191,178.01660156249997,295.8236284299762
Ameriflux,"Sierra Critical Zone, Sierra Transect, Subalpine Forest, Shorthair",US-CZ4,-118.9867,37.0675,75.30203894657829,285.37207764299836,74.88791646018575,39.12983322143555,181.69283759458978,146.29292297363287,169.82998657226562
Ameriflux,Berkeley Way West,US-DBk,-122.2684,37.8736,5.934078491045233,13.712789419434005,7.807354227938469,NA,24.013615664996234,21.607156753540032,0
Ameriflux,Dwarf Cypress Swamp,US-DCS,-80.9078,25.7626,NA,NA,23.929921068545756,13.796663284301758,NA,22.51352691650391,NA
Ameriflux,California UC ANR Desert Research and Extension Center Alfalfa,US-Dea,-115.4423,32.8136,0.020136915764789307,0,1.713577257118521,11.294845581054688,2.6548370637078014,0,11.866992950439453
Ameriflux,California UC ANR Desert Research and Extension Center Urban Farm Tower,US-Deu,-115.4456,32.8056,0.08247579210079174,0,1.6247859348418021,11.294845581054688,2.8890085185086267,0,12.471339948263635
Ameriflux,"US Dairy Forage Research Center, Prairie du Sac",US-DFC,-89.7117,43.3448,NA,NA,29.844871423027257,35.061195373535156,NA,17.993116378784187,NA
Ameriflux,Dairy Forage Research Center - Kernza,US-DFK,-89.7154,43.3453,NA,NA,28.70876159563927,35.061195373535156,NA,17.993116378784176,NA
Ameriflux,Diablo,US-Dia,-121.5296,37.6773,0,0,5.030665183512181,17.963218688964844,0.22890348927819332,5.460383313627754,28.086708068847656
Ameriflux,Fort Dix,US-Dix,-74.4346,39.9712,NA,NA,72.71881128695975,89.38007354736328,NA,73.08127593994146,NA
Ameriflux,Duke Forest-open field,US-Dk1,-79.0934,35.9712,NA,NA,208.85722805399914,47.67133712768555,NA,74.70080566406246,NA
Ameriflux,Duke Forest-hardwoods,US-Dk2,-79.1004,35.9736,NA,NA,231.5818234502051,47.67133712768555,NA,74.70080566406246,NA
Ameriflux,Duke Forest - loblolly pine,US-Dk3,-79.0942,35.9782,NA,NA,220.1685552299526,47.67133712768555,NA,74.70080566406244,NA
Ameriflux,Dutch Slough Marsh Gilbert Tract,US-Dmg,-121.6691,38.0015,0.1402713443473316,0.019296033095139876,3.683907399429434,12.78257313762465,6.759956475172581,5.436649322509768,9.173567860408578
Ameriflux,Disney Wilderness Preserve Pine Flatwoods,US-DPP,-81.419,28.1046,NA,NA,28.8471456171737,16.484647750854492,NA,34.6896743774414,NA
Ameriflux,Disney Wilderness Preserve Wetland,US-DPW,-81.4361,28.0521,NA,NA,34.249400033162694,16.484647750854492,NA,34.689674377441406,NA
Ameriflux,Staten Corn 1,US-DS1,-121.539,38.1335,0.0072292658374285565,0,1.5946576188006445,12.50431156158447,0.582665150115734,0,3.368778705596924
Ameriflux,Staten Corn 2,US-DS2,-121.514,38.1375,0.9236919347425231,0,1.545458239361918,12.50431156158447,1.9760141937134887,0,3.368778705596924
Ameriflux,Staten Rice 1,US-DS3,-121.549,38.1235,0,0,2.100330107889846,12.504311561584473,2.366187488708894,0,3.368778705596924
Ameriflux,EAA Field Research Park Woodland,US-EA4,-98.3816,29.6633,NA,NA,35.1649795716358,26.59292793273926,NA,9.722003018942248,NA
Ameriflux,Uvalde Ranch Mesquite Woodland,US-EA5,-99.9576,29.3584,NA,NA,9.710356904516484,28.22995376586914,NA,12.083471298217768,NA
Ameriflux,Camp Wood Shield Ranch Oak Savannah,US-EA6,-99.9588,29.6561,NA,NA,23.159684728956965,39.778961181640625,NA,16.634875727745257,NA
Ameriflux,Eden Landing Ecological Reserve,US-EDN,-122.114,37.6156,0,0,1.7891860206128694,10.511804580688477,NA,NA,0
Ameriflux,Elkhorn Slough Hester Marsh,US-EKH,-121.7523,36.8094,4.733285719741316,0.9726946436708878,37.42913383430723,65.62194061279297,11.177329553733871,0,251.92707824707028
Ameriflux,Elkhorn Slough North Marsh,US-EKN,-121.7328,36.8357,17.591800439623942,26.29845360938137,48.027981088463704,65.62194061279297,50.955393856486246,0,251.92707824707028
Ameriflux,Elkhorn Slough Porter Marsh,US-EKP,-121.7488,36.8558,9.77224430506468,31.10429061548828,27.808024633029977,65.62194061279297,73.01513745956883,0,251.9270782470703
Ameriflux,Elkhorn Slough Yampah Marsh,US-EKY,-121.7487,36.8105,4.499048672840246,0.5287799102677126,17.381811424100096,65.62194061279297,9.665332276809316,0,251.92707824707034
Ameriflux,Everglades (long hydroperiod marsh),US-Elm,-80.7826,25.5519,NA,NA,8.403254397016633,44.234710693359375,NA,0,NA
Ameriflux,Edwards Plateau Martin,US-EPM,-99.8619,30.8167,NA,NA,6.295119411355898,20.6430721282959,NA,18.769573211669915,NA
Ameriflux,Everglades (short hydroperiod marsh),US-Esm,-80.5946,25.4379,NA,NA,4.411654621936631,50.319828033447266,NA,8.316816329956051,NA
Ameriflux,Everglades Saltwater intrusion marsh,US-EvM,-80.381,25.3539,NA,NA,3.062244581290487,NA,NA,1.1283162832260127,NA
Ameriflux,Bob Allen Key LTER East,US-FBE,-80.6814,25.0266,NA,NA,NA,NA,NA,NA,NA
Ameriflux,Flagstaff - Managed Forest,US-Fmf,-111.7273,35.1426,16.389433335378392,69.03978455955557,99.91973867860109,101.82066345214844,67.80215498305873,81.72504425048832,78.94586181640625
Ameriflux,Fort Peck,US-FPe,-105.1019,48.3077,NA,NA,1.9803456839724012,9.93378734588623,NA,0,0.13223446136078537
Ameriflux,Freeman Ranch- Grassland,US-FR1,-98.01,29.93,NA,NA,27.808268831857188,32.55236040877581,NA,24.15563392639161,NA
Ameriflux,Freeman Ranch- Mesquite Juniper,US-FR2,-97.9962,29.9495,NA,NA,31.348270050274117,34.20857074705859,NA,24.155633926391598,NA
Ameriflux,Freeman Ranch- Woodland,US-FR3,-97.99,29.94,NA,NA,36.842174393625164,34.82507146413388,NA,24.155633926391605,NA
Ameriflux,Flagstaff - Unmanaged Forest,US-Fuf,-111.762,35.089,82.87392862657889,85.52546988872436,77.57006231960084,33.3759880065918,94.05230987683152,81.91268157958986,124.45143127441406
Ameriflux,Flagstaff - Wildfire,US-Fwf,-111.7718,35.4454,5.939955817823819,32.7385511341865,41.79742341734774,97.03620910644531,49.316673667418506,44.489875793457045,81.07381439208984
Ameriflux,GLEES Brooklyn Tower,US-GBT,-106.2397,41.3658,NA,54.88993363836571,50.24107172498261,86.65321592214532,NA,76.59161376953128,90.8200454711914
Ameriflux,Georgia Coastal Ecosystems LTER Flux Tower,US-GCE,-81.2835,31.4441,NA,NA,43.01144618046071,83.17838287353516,NA,18.956510543823253,NA
Ameriflux,Stannard Rock,US-GL1,-87.2251,47.1835,NA,NA,NA,NA,NA,NA,NA
Ameriflux,Granite Island,US-GL2,-87.4,46.7167,NA,NA,NA,108.12675476074219,NA,NA,NA
Ameriflux,GLEES,US-GLE,-106.2399,41.3665,NA,56.36109344108308,50.51168456882157,86.34145423389502,NA,76.59161376953124,90.8200454711914
Ameriflux,Great Mountain Forest,US-GMF,-73.2333,41.9667,NA,NA,150.07841578786991,44.48945999145508,NA,189.1484832763672,NA
Ameriflux,Goodwin Creek,US-Goo,-89.8735,34.2547,NA,NA,82.77596960661104,67.5963696335111,NA,69.67836761474614,NA
Ameriflux,"Genesee, ID On-farm site Zone 1",US-GZ1,-116.8068,46.5008,0.029247157972971748,NA,6.616730076656905,12.369418917291231,NA,0,32.402972635101875
Ameriflux,"Genesee, ID On-farm site Zone 2",US-GZ2,-116.8047,46.4978,0.03833037787689789,NA,8.692924205182031,12.325999473588983,NA,0,32.03340015300734
Ameriflux,"Genesee, ID On-farm site Zone 3",US-GZ3,-116.8019,46.4949,0.1608298611681473,NA,11.405590440988256,12.287346486748573,NA,0,30.8297371077402
Ameriflux,Harvard Forest EMS Tower (HFR1),US-Ha1,-72.1715,42.5378,NA,NA,165.3727280591068,37.92121124267578,NA,114.92280578613281,NA
Ameriflux,Harvard Forest Hemlock Site,US-Ha2,-72.1779,42.5393,NA,NA,181.61605427865518,37.92121124267578,NA,114.92280578613288,NA
Ameriflux,North Inlet Crab Haul Creek,US-HB1,-79.1957,33.3455,NA,NA,119.20589099477891,NA,NA,31.388685226440433,NA
Ameriflux,Hobcaw Barony Mature Longleaf Pine,US-HB2,-79.244,33.3242,NA,NA,144.74764239579116,104.66316223144531,NA,31.388685226440423,NA
Ameriflux,Hobcaw Barony Longleaf Pine Restoration,US-HB3,-79.2322,33.3482,NA,NA,119.16316949980643,NA,NA,31.388685226440426,NA
Ameriflux,Minim Creek Brackish Impoundment,US-HB4,-79.2975,33.2015,NA,NA,19.55446765405247,98.68402862548828,NA,30.36115264892579,NA
Ameriflux,Hubbard Brook Experimental Forest,US-HBK,-71.7181,43.9397,NA,NA,187.13104870445002,52.58859634399414,NA,130.1892547607422,NA
Ameriflux,Hanford 300 Area,US-Hn1,-119.275,46.4089,0,NA,3.0080291573120763,9.334315299987793,NA,0,5.499685331655091
Ameriflux,Hanford 100H grassland,US-Hn2,-119.4641,46.6889,0.002098322793993577,NA,2.9943648217621677,9.442992210388184,NA,0,0
Ameriflux,Hanford 100H sagebrush,US-Hn3,-119.4614,46.6878,0.002098631562284856,NA,3.925953898807481,9.442992210388184,NA,0,0
Ameriflux,Howland Forest (main tower),US-Ho1,-68.7402,45.2041,NA,NA,107.39663332571489,36.34164639394525,NA,65.87928009033203,NA
Ameriflux,Howland Forest (west tower),US-Ho2,-68.747,45.2091,NA,NA,113.15077949546561,37.20229413235395,NA,65.87928009033205,NA
Ameriflux,Howland Forest (harvest site),US-Ho3,-68.725,45.2072,NA,NA,77.9484629203871,36.13814926147461,NA,65.87928009033207,NA
Ameriflux,Hawk Property,US-HPY,-74.0853,40.7692,NA,NA,9.118391891318645,8.624485969543457,NA,10.92096544082397,NA
Ameriflux,Humnoke Farm Rice Field – Field A,US-HRA,-91.7517,34.5852,NA,NA,7.075551467492522,10.234103135260176,NA,8.984377529888715,NA
Ameriflux,Humnoke Farm Rice Field – Field C,US-HRC,-91.7517,34.5888,NA,NA,6.472192073196062,10.234103031240997,NA,7.5929922554492375,NA
Ameriflux,Humnoke Carr North Rice Field,US-HRN,-91.7132,34.5955,NA,NA,28.126637816101262,10.232397079467773,NA,7.404955387115477,NA
Ameriflux,Herring River Phragmites,US-HRP,-70.0552,41.938,NA,NA,67.55971254421672,NA,NA,88.69389330720692,NA
Ameriflux,Humnoke Carr South Rice Field,US-HRS,-91.7138,34.5922,NA,NA,33.54033030200913,10.232397079467773,NA,7.404955387115477,NA
Ameriflux,Hill Slough Marsh,US-Hsm,-122.0212,38.2368,0.5901436811935283,1.8907254057413123,1.320385527391351,22.518062591552734,12.04956399164812,9.755227088928224,55.473209381103516
Ameriflux,USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site,US-HWB,-77.8488,40.8608,NA,NA,53.55649835970741,75.4464111328125,NA,86.78526306152344,NA
Ameriflux,Fermi National Accelerator Laboratory- Batavia (Agricultural site),US-IB1,-88.2227,41.8593,NA,NA,10.1520233922771,8.833524703979492,NA,6.8660888671875,NA
Ameriflux,Fermi National Accelerator Laboratory- Batavia (Prairie site),US-IB2,-88.241,41.8406,NA,NA,9.608222855460395,9.651155533965037,NA,5.6999782280929745,NA
Ameriflux,Paspalum notatum long rotational grazing,US-IL1,-81.1996,27.1879,NA,NA,15.638387962762403,18.057926177978516,NA,0.4467744827270508,NA
Ameriflux,INFLUX - Cemetery Turfgrass Tower,US-INa,-86.179,39.8273,NA,NA,78.86907901695882,10.181988716125488,NA,0.9612076282501228,NA
Ameriflux,INFLUX - Golf Course,US-INb,-86.0024,39.8706,NA,NA,72.2782415313024,10.277446095435716,NA,12.800680160522457,NA
Ameriflux,INFLUX - Downtown Indianapolis (Site-3),US-INc,-86.1652,39.7833,NA,NA,10.406922781458745,10.181988716125488,NA,0.9612076282501223,NA
Ameriflux,INFLUX - Agricultural Site East near Pittsboro,US-INd,-86.5005,39.8645,NA,NA,17.830587282043172,10.90838592002607,NA,6.004423141479494,NA
Ameriflux,INFLUX - Agricultural Site West near Pittsboro,US-INe,-86.5083,39.8632,NA,NA,20.791382531535714,11.11115242714779,NA,6.004423141479489,NA
Ameriflux,INFLUX - East 21st St (Site 2),US-INf,-86.0183,39.7978,NA,NA,18.28979357058902,10.181988716125488,NA,12.800680160522463,NA
Ameriflux,INFLUX - Wayne Twp Comm (Site-7),US-INg,-86.2724,39.7739,NA,NA,45.03525950558862,10.62767219543457,NA,0.9612076282501227,NA
